title,timestamp,search_count,date_collected
Air conditioner,2023-04-16 00:00:00,57,2024-02-10 14:50:20.516883
Air conditioner,2023-04-23 00:00:00,68,2024-02-10 14:50:20.516883
Air conditioner,2023-04-30 00:00:00,61,2024-02-10 14:50:20.516884
Air conditioner,2023-05-07 00:00:00,100,2024-02-10 14:50:20.516885
Air conditioner,2023-05-14 00:00:00,82,2024-02-10 14:50:20.516885
Air conditioner,2023-05-21 00:00:00,73,2024-02-10 14:50:20.516886
Air conditioner,2023-05-28 00:00:00,62,2024-02-10 14:50:20.516886
Air conditioner,2023-06-04 00:00:00,54,2024-02-10 14:50:20.516887
Air conditioner,2023-06-11 00:00:00,72,2024-02-10 14:50:20.516888
Air conditioner,2023-06-18 00:00:00,43,2024-02-10 14:50:20.516888
Air conditioner,2023-06-25 00:00:00,51,2024-02-10 14:50:20.516889
Air conditioner,2023-07-02 00:00:00,55,2024-02-10 14:50:20.516890
Air conditioner,2023-07-09 00:00:00,42,2024-02-10 14:50:20.516890
Air conditioner,2023-07-16 00:00:00,48,2024-02-10 14:50:20.516891
Air conditioner,2023-07-23 00:00:00,48,2024-02-10 14:50:20.516891
Air conditioner,2023-07-30 00:00:00,54,2024-02-10 14:50:20.516892
Air conditioner,2023-08-06 00:00:00,54,2024-02-10 14:50:20.516893
Air conditioner,2023-08-13 00:00:00,51,2024-02-10 14:50:20.516893
Air conditioner,2023-08-20 00:00:00,36,2024-02-10 14:50:20.516894
Air conditioner,2023-08-27 00:00:00,36,2024-02-10 14:50:20.516894
Air conditioner,2023-09-03 00:00:00,51,2024-02-10 14:50:20.516895
Air conditioner,2023-09-10 00:00:00,32,2024-02-10 14:50:20.516896
Air conditioner,2023-09-17 00:00:00,46,2024-02-10 14:50:20.516896
Air conditioner,2023-09-24 00:00:00,36,2024-02-10 14:50:20.516897
Air conditioner,2023-10-01 00:00:00,47,2024-02-10 14:50:20.516897
Air conditioner,2023-10-08 00:00:00,51,2024-02-10 14:50:20.516898
Air conditioner,2023-10-15 00:00:00,56,2024-02-10 14:50:20.516899
Air conditioner,2023-10-22 00:00:00,43,2024-02-10 14:50:20.516899
Air conditioner,2023-10-29 00:00:00,37,2024-02-10 14:50:20.516900
Air conditioner,2023-11-05 00:00:00,31,2024-02-10 14:50:20.516900
Air conditioner,2023-11-12 00:00:00,24,2024-02-10 14:50:20.516901
Air conditioner,2023-11-19 00:00:00,42,2024-02-10 14:50:20.516902
Air conditioner,2023-11-26 00:00:00,35,2024-02-10 14:50:20.516902
Air conditioner,2023-12-03 00:00:00,27,2024-02-10 14:50:20.516903
Air conditioner,2023-12-10 00:00:00,20,2024-02-10 14:50:20.516904
Air conditioner,2023-12-17 00:00:00,33,2024-02-10 14:50:20.516904
Air conditioner,2023-12-24 00:00:00,35,2024-02-10 14:50:20.516905
Air conditioner,2023-12-31 00:00:00,42,2024-02-10 14:50:20.516905
Air conditioner,2024-01-07 00:00:00,30,2024-02-10 14:50:20.516906
Air conditioner,2024-01-14 00:00:00,30,2024-02-10 14:50:20.516907
Air conditioner,2024-01-21 00:00:00,28,2024-02-10 14:50:20.516907
Air conditioner,2024-01-28 00:00:00,22,2024-02-10 14:50:20.516908
Air con,2019-02-10 00:00:00,47,2024-02-10 14:50:20.517716
Air con,2019-02-17 00:00:00,50,2024-02-10 14:50:20.517717
Air con,2019-02-24 00:00:00,48,2024-02-10 14:50:20.517717
Air con,2019-03-03 00:00:00,44,2024-02-10 14:50:20.517718
Air con,2019-03-10 00:00:00,58,2024-02-10 14:50:20.517719
Air con,2019-03-17 00:00:00,51,2024-02-10 14:50:20.517719
Air con,2019-03-24 00:00:00,71,2024-02-10 14:50:20.517720
Air con,2019-03-31 00:00:00,80,2024-02-10 14:50:20.517720
Air con,2019-04-07 00:00:00,55,2024-02-10 14:50:20.517721
Air con,2019-04-14 00:00:00,63,2024-02-10 14:50:20.517722
Air con,2019-04-21 00:00:00,50,2024-02-10 14:50:20.517722
Air con,2019-04-28 00:00:00,57,2024-02-10 14:50:20.517723
Air con,2019-05-05 00:00:00,48,2024-02-10 14:50:20.517723
Air con,2019-05-12 00:00:00,60,2024-02-10 14:50:20.517724
Air con,2019-05-19 00:00:00,65,2024-02-10 14:50:20.517725
Air con,2019-05-26 00:00:00,57,2024-02-10 14:50:20.517725
Air con,2019-06-02 00:00:00,46,2024-02-10 14:50:20.517726
Air con,2019-06-09 00:00:00,51,2024-02-10 14:50:20.517726
Air con,2019-06-16 00:00:00,56,2024-02-10 14:50:20.517727
Air con,2019-06-23 00:00:00,53,2024-02-10 14:50:20.517728
Air con,2019-06-30 00:00:00,56,2024-02-10 14:50:20.517728
Air con,2019-07-07 00:00:00,60,2024-02-10 14:50:20.517729
Air con,2019-07-14 00:00:00,47,2024-02-10 14:50:20.517729
Air con,2019-07-21 00:00:00,44,2024-02-10 14:50:20.517730
Air con,2019-07-28 00:00:00,48,2024-02-10 14:50:20.517731
Air con,2019-08-04 00:00:00,55,2024-02-10 14:50:20.517731
Air con,2019-08-11 00:00:00,52,2024-02-10 14:50:20.517732
Air con,2019-08-18 00:00:00,60,2024-02-10 14:50:20.517732
Air con,2019-08-25 00:00:00,34,2024-02-10 14:50:20.517733
Air con,2019-09-01 00:00:00,57,2024-02-10 14:50:20.517734
Air con,2019-09-08 00:00:00,58,2024-02-10 14:50:20.517734
Air con,2019-09-15 00:00:00,47,2024-02-10 14:50:20.517735
Air con,2019-09-22 00:00:00,70,2024-02-10 14:50:20.517735
Air con,2019-09-29 00:00:00,40,2024-02-10 14:50:20.517736
Air con,2019-10-06 00:00:00,45,2024-02-10 14:50:20.517736
Air con,2019-10-13 00:00:00,61,2024-02-10 14:50:20.517737
Air con,2019-10-20 00:00:00,57,2024-02-10 14:50:20.517738
Air con,2019-10-27 00:00:00,50,2024-02-10 14:50:20.517738
Air con,2019-11-03 00:00:00,68,2024-02-10 14:50:20.517739
Air con,2019-11-10 00:00:00,47,2024-02-10 14:50:20.517739
Air con,2019-11-17 00:00:00,50,2024-02-10 14:50:20.517740
Air con,2019-11-24 00:00:00,42,2024-02-10 14:50:20.517741
Air con,2019-12-01 00:00:00,24,2024-02-10 14:50:20.517741
